outcome,post_date,estimate,std_error,t_stat,p_value,n_obs,n_tags,placebo_type
log_questions,2019-01-31,0.2248830695230521,0.06751978404075398,3.3306248341569913,0.000867753792830106,25627,100,rolling_monthly
log_answers,2019-01-31,0.22061086634389748,0.05845435876103416,3.774070420407337,0.00016097229481859543,25627,100,rolling_monthly
log_questions,2019-02-28,0.22390615748111542,0.06635123120152535,3.374559196965859,0.000740451562296407,25627,100,rolling_monthly
log_answers,2019-02-28,0.21973858192510584,0.057653640026457016,3.811356608607344,0.0001385338618742349,25627,100,rolling_monthly
log_questions,2019-03-31,0.2195632970895328,0.06577004409926192,3.3383480290535,0.0008439983859171996,25627,100,rolling_monthly
log_answers,2019-03-31,0.21403929355273457,0.0575444917992616,3.719544423111598,0.00020001409552894422,25627,100,rolling_monthly
log_questions,2019-04-30,0.21506171663540485,0.06503322676299386,3.3069513437980347,0.0009444880568261205,25627,100,rolling_monthly
log_answers,2019-04-30,0.20930292991761268,0.05735752325894679,3.6490928831200016,0.00026369768309941755,25627,100,rolling_monthly
log_questions,2019-05-31,0.21336798797211892,0.06476100336117127,3.2946986133332192,0.0009866281860921866,25627,100,rolling_monthly
log_answers,2019-05-31,0.20711310161505883,0.05739991466168747,3.6082475529062052,0.0003088671678688204,25627,100,rolling_monthly
log_questions,2019-06-30,0.21030941055601493,0.06424130509527708,3.2737412517398647,0.0010627633279554072,25627,100,rolling_monthly
log_answers,2019-06-30,0.21112642284881225,0.05678670821774673,3.7178845098619746,0.000201331837840657,25627,100,rolling_monthly
log_questions,2019-07-31,0.20549705187421252,0.06376377525627562,3.222786778986828,0.0012711096187607573,25627,100,rolling_monthly
log_answers,2019-07-31,0.21059822252017843,0.05597907017503125,3.7620886138639915,0.00016888067885911795,25627,100,rolling_monthly
log_questions,2019-08-31,0.20077840951205833,0.06374833254229373,3.149547627443466,0.0016371393239518195,25627,100,rolling_monthly
log_answers,2019-08-31,0.20865451904218746,0.055426894502067295,3.7644995433472306,0.00016726058866356475,25627,100,rolling_monthly
log_questions,2019-09-30,0.19715236843487693,0.06438724895248484,3.0619784451478482,0.002201102310572356,25627,100,rolling_monthly
log_answers,2019-09-30,0.2078423968117437,0.05555576623546894,3.741148955282505,0.0001835858094338949,25627,100,rolling_monthly
log_questions,2019-10-31,0.19309819550563212,0.06444335260861672,2.9964020754533642,0.0027345106313552137,25627,100,rolling_monthly
log_answers,2019-10-31,0.20887702086263718,0.05515225470404182,3.78727981264798,0.00015265810028375348,25627,100,rolling_monthly
log_questions,2019-11-30,0.19033887916605055,0.06433219598230211,2.9586877341854314,0.0030923826750319794,25627,100,rolling_monthly
log_answers,2019-11-30,0.20917114521575633,0.05473528694342618,3.8215044973081707,0.0001329576112312214,25627,100,rolling_monthly
log_questions,2019-12-31,0.18915417797305467,0.06401774855098857,2.9547146260915125,0.003132469584274711,25627,100,rolling_monthly
log_answers,2019-12-31,0.2107477352676344,0.0542502038630186,3.884736282277778,0.00010270199951456505,25627,100,rolling_monthly
log_questions,2020-01-31,0.18995404058092866,0.0639184810766465,2.9718171862242673,0.0029632167799644726,25627,100,rolling_monthly
log_answers,2020-01-31,0.21290032663652195,0.05393461279498096,3.9473784199732678,7.92254566530648e-05,25627,100,rolling_monthly
log_questions,2020-02-29,0.1881135178167123,0.06406639175517147,2.936227757848212,0.003325297180630571,25627,100,rolling_monthly
log_answers,2020-02-29,0.21254532062197187,0.05396724359217533,3.938413498161108,8.224223775621375e-05,25627,100,rolling_monthly
log_questions,2020-03-31,0.18549480799693913,0.06419438745063136,2.889579842779772,0.003860850441806951,25627,100,rolling_monthly
log_answers,2020-03-31,0.2113595210056203,0.053946876688186034,3.917919516032083,8.95514893799465e-05,25627,100,rolling_monthly
log_questions,2020-04-30,0.18197824515788935,0.06396884374123524,2.8447949738473004,0.004447572581998571,25627,100,rolling_monthly
log_answers,2020-04-30,0.2095367359231437,0.053816383547799045,3.8935491779568534,9.904199848942419e-05,25627,100,rolling_monthly
log_questions,2020-05-31,0.17943046484523525,0.06373739550550366,2.815152131996696,0.004879186716024497,25627,100,rolling_monthly
log_answers,2020-05-31,0.20757456144060576,0.053496925061325515,3.8801213565575092,0.00010466914641171776,25627,100,rolling_monthly
log_questions,2020-06-30,0.17817171076298077,0.06315200037181655,2.821315393241212,0.0047864451159953525,25627,100,rolling_monthly
log_answers,2020-06-30,0.20524624613866826,0.05293717159638193,3.877166836633488,0.0001059471457480754,25627,100,rolling_monthly
log_questions,2020-07-31,0.1784506804846679,0.06266555925440151,2.847667564255143,0.004407641967452358,25627,100,rolling_monthly
log_answers,2020-07-31,0.2053885400296736,0.052729394987300345,3.895143118542145,9.839332549010926e-05,25627,100,rolling_monthly
log_questions,2020-08-31,0.17772315714026887,0.06218340034257583,2.8580482276808703,0.004266039169221525,25627,100,rolling_monthly
log_answers,2020-08-31,0.20519192296201547,0.052648004069004516,3.8974302367298708,9.74695594155861e-05,25627,100,rolling_monthly
log_questions,2020-09-30,0.17702229986052903,0.061384220943373605,2.8838404583456474,0.003931893794319352,25627,100,rolling_monthly
log_answers,2020-09-30,0.20431486764163476,0.05233294429509174,3.9041347738731615,9.480856019949968e-05,25627,100,rolling_monthly
log_questions,2020-10-31,0.1725113709686066,0.06078815231878539,2.837911079513028,0.004544600036363811,25627,100,rolling_monthly
log_answers,2020-10-31,0.19991629907841105,0.051936534086067784,3.84924220678868,0.00011877537175486452,25627,100,rolling_monthly
log_questions,2020-11-30,0.16850915280692974,0.05999946295552783,2.8085110183707864,0.0049809358047545604,25627,100,rolling_monthly
log_answers,2020-11-30,0.19650165603987377,0.05144767013522029,3.8194471299362447,0.0001340707503381111,25627,100,rolling_monthly
log_questions,2020-12-31,0.1661065514001081,0.058955473292551214,2.817491610589699,0.004843793696904797,25627,100,rolling_monthly
log_answers,2020-12-31,0.19389707439451973,0.051002905728978,3.8016868180973944,0.00014405177124121593,25627,100,rolling_monthly
log_questions,2021-01-31,0.16709007307405502,0.05821019213422505,2.870460772381017,0.004102142792499874,25627,100,rolling_monthly
log_answers,2021-01-31,0.1954917823511445,0.050604569578955205,3.8631250888544892,0.00011222489193385421,25627,100,rolling_monthly
log_questions,2021-02-28,0.16575833680958216,0.05767268335656163,2.8741221521596363,0.004054900995617894,25627,100,rolling_monthly
log_answers,2021-02-28,0.19495816453976766,0.05031704813595282,3.8745946306906873,0.0001070717493629747,25627,100,rolling_monthly
log_questions,2021-03-31,0.1640835278168842,0.05711965748326464,2.872628006653553,0.004074119583073799,25627,100,rolling_monthly
log_answers,2021-03-31,0.194295845063491,0.05006083083908994,3.881194974330617,0.00010420835981950205,25627,100,rolling_monthly
log_questions,2021-04-30,0.16178130827272064,0.05675992860606412,2.850273286908896,0.0043717023263281085,25627,100,rolling_monthly
log_answers,2021-04-30,0.19284568672830027,0.05001638398698462,3.8556503160740894,0.00011570820101347579,25627,100,rolling_monthly
log_questions,2021-05-31,0.16040732813349373,0.056344650916823426,2.846895411070853,0.0044183432718913895,25627,100,rolling_monthly
log_answers,2021-05-31,0.19085744627210044,0.04992492836465852,3.8228887356242454,0.0001322135758168308,25627,100,rolling_monthly
log_questions,2021-06-30,0.15976300515715586,0.05640907258259336,2.8322218012578233,0.004626232419697507,25627,100,rolling_monthly
log_answers,2021-06-30,0.19011857239003677,0.050125743370712114,3.7928329757423773,0.00014928500238120535,25627,100,rolling_monthly
log_questions,2021-07-31,0.1596108113265083,0.055863370703167416,2.8571639934619713,0.004277938267642778,25627,100,rolling_monthly
log_answers,2021-07-31,0.1892101854823871,0.04997735399324407,3.7859184283338507,0.0001534959137416969,25627,100,rolling_monthly
log_questions,2021-08-31,0.15766725772851686,0.05543848824797543,2.844003556216646,0.004458631183545725,25627,100,rolling_monthly
log_answers,2021-08-31,0.18649555452883212,0.04954671473839676,3.764034719829878,0.00016757179736637262,25627,100,rolling_monthly
log_questions,2021-09-30,0.15718884329684762,0.055363639602837786,2.839207184073761,0.004526186398572607,25627,100,rolling_monthly
log_answers,2021-09-30,0.1848885255100095,0.049413111210161814,3.741689624109059,0.00018319143021372497,25627,100,rolling_monthly
log_questions,2021-10-31,0.1538530796404821,0.05533147932028702,2.7805705094183626,0.005430362460713045,25627,100,rolling_monthly
log_answers,2021-10-31,0.18155432203791994,0.04959134322311066,3.6610083582755553,0.00025173648011667105,25627,100,rolling_monthly
log_questions,2021-11-30,0.1488517777769991,0.055817141646542556,2.666775355850192,0.007663161213442349,25627,100,rolling_monthly
log_answers,2021-11-30,0.17835188988504977,0.049992360944869786,3.5675828569435115,0.00036095586445417105,25627,100,rolling_monthly
log_questions,2021-12-31,0.14755894728516109,0.0559162758229481,2.6389265936162856,0.00832200013864215,25627,100,rolling_monthly
log_answers,2021-12-31,0.17680756787643154,0.05031441688360878,3.5140538006320643,0.00044209485757873423,25627,100,rolling_monthly
log_questions,2022-01-31,0.14859608777372255,0.055342877774826764,2.6850083289545323,0.0072575326411925545,25627,100,rolling_monthly
log_answers,2022-01-31,0.177331793816187,0.050220972401358435,3.5310306697962366,0.00041468046782799917,25627,100,rolling_monthly
log_questions,2022-02-28,0.1464367780084205,0.05425915616426867,2.698839944452613,0.006962788101064321,25627,100,rolling_monthly
log_answers,2022-02-28,0.1756026685974678,0.0492833125930068,3.5631263273156164,0.000367138867082728,25627,100,rolling_monthly
log_questions,2022-03-31,0.14423360695828719,0.05328459485330701,2.7068537793214653,0.006796979671744863,25627,100,rolling_monthly
log_answers,2022-03-31,0.1753870016860061,0.0485158043292323,3.6150488301876904,0.0003008746087291847,25627,100,rolling_monthly
log_questions,2022-04-30,0.1402487801224032,0.05297350963605472,2.647526680523115,0.00811332767507289,25627,100,rolling_monthly
log_answers,2022-04-30,0.1715141230971982,0.048350433020703396,3.547313072124024,0.0003898864781479716,25627,100,rolling_monthly
log_questions,2022-05-31,0.14363872122551913,0.053409107643913496,2.689405001543556,0.007162650059202358,25627,100,rolling_monthly
log_answers,2022-05-31,0.1705087094907553,0.04879473012103004,3.494408290973778,0.00047592711922050945,25627,100,rolling_monthly
log_questions,2022-06-30,0.14847415182229523,0.054322372014801425,2.7332045033276513,0.006276500117436745,25627,100,rolling_monthly
log_answers,2022-06-30,0.17484977210713828,0.04982567095743765,3.509230658559508,0.0004501865268469185,25627,100,rolling_monthly
log_questions,2022-07-31,0.15456042192505826,0.054872313192559086,2.816728745928234,0.004855309158739773,25627,100,rolling_monthly
log_answers,2022-07-31,0.17679427991179358,0.04976370733478041,3.5526750192148584,0.00038202961321043283,25627,100,rolling_monthly
log_questions,2022-08-31,0.1689983199466228,0.05764055321706774,2.9319343849840305,0.003371598912848217,25627,100,rolling_monthly
log_answers,2022-08-31,0.1839103548657717,0.05154047945059153,3.568270160196598,0.00036001100993021673,25627,100,rolling_monthly
log_questions,2022-09-30,0.1795926784560066,0.058597542464057954,3.064850007424178,0.002180087127204633,25627,100,rolling_monthly
log_answers,2022-09-30,0.19319384328239383,0.053109437682873385,3.637655597786428,0.0002756783184607592,25627,100,rolling_monthly
